	0.05_0	0.07_0	0.1_0	0.02_0	1_0
PF12224	0.000	0.000	0.000	0.000	0.000
PF09663	0.000	0.000	0.000	0.000	0.000
PF11741	0.000	0.000	0.000	0.000	0.000
PF10706	0.000	0.000	0.000	0.000	0.000
PF00155	0.000	0.000	0.000	0.000	0.000
PF00202	0.000	0.000	0.000	0.000	0.000
PF01063	0.000	0.000	0.000	0.000	0.000
PF00266	0.000	0.000	0.000	0.000	0.000
PF12897	0.000	0.000	0.000	0.000	0.000
PF01593	0.000	0.000	0.000	0.000	0.000
PF02293	0.000	0.000	0.000	0.000	0.000
PF01871	0.000	0.000	0.000	0.000	0.000
PF00909	0.000	0.000	0.000	0.000	0.000
PF14828	0.000	0.000	0.000	0.000	0.000
PF10423	0.000	0.000	0.000	0.000	0.000
PF02461	0.000	0.000	0.000	0.000	0.000
PF05145	0.000	0.000	0.000	0.000	0.000
PF04896	0.000	0.000	0.000	0.000	0.000
PF03782	0.000	0.000	0.000	0.000	0.000
PF00501	0.000	0.000	0.000	0.000	0.000
PF13193	0.000	0.000	0.000	0.000	0.000
PF14535	0.000	0.000	0.000	0.000	0.000
PF04739	0.000	0.000	0.000	0.000	0.000
PF05195	0.000	0.000	0.000	0.000	0.000
PF15243	0.000	0.000	0.000	0.000	0.000
PF01821	0.000	0.000	0.000	0.000	0.000
PF02166	0.000	0.000	0.000	0.000	0.000
PF06369	0.000	0.000	0.000	0.000	0.000
PF03139	0.000	0.000	0.000	0.000	0.000
PF09582	0.000	0.000	0.000	0.000	0.000
PF01094	0.000	0.000	0.000	0.000	0.000
PF12240	0.000	0.000	0.000	0.000	0.000
PF08174	0.000	0.000	0.000	0.000	0.000
PF00023	0.000	0.000	0.000	0.000	0.000
PF07260	0.000	0.000	0.000	0.000	0.000
PF12796	0.000	0.000	0.000	0.000	0.000
PF13606	0.000	0.000	0.000	0.000	0.000
PF13637	0.000	0.000	0.000	0.000	0.000
PF13857	0.000	0.000	0.000	0.000	0.000
PF00191	0.000	0.000	0.000	0.000	0.000
PF04547	0.000	0.000	0.000	0.000	0.000
PF10731	0.000	0.000	0.000	0.000	0.000
PF00212	0.000	0.000	0.000	0.000	0.000
PF03452	0.000	0.000	0.000	0.000	0.000
PF03374	0.000	0.000	0.000	0.000	0.000
PF08346	0.000	0.000	0.000	0.000	0.000
PF03861	0.000	0.000	0.000	0.000	0.000
PF07651	0.000	0.000	0.000	0.000	0.000
PF09156	0.000	0.000	0.000	0.000	0.000
PF03497	0.000	0.000	0.000	0.000	0.000
PF05587	0.000	0.000	0.000	0.000	0.000
PF04715	0.000	0.000	0.000	0.000	0.000
PF10796	0.000	0.000	0.000	0.000	0.000
PF02522	0.000	0.000	0.000	0.000	0.000
PF08264	0.000	0.000	0.000	0.000	0.000
PF11410	0.000	0.000	0.000	0.000	0.000
PF11402	0.000	0.000	0.000	0.000	0.000
PF11641	0.000	0.000	0.000	0.000	0.000
PF09255	0.000	0.000	0.000	0.000	0.000
PF08105	0.000	0.000	0.000	0.000	0.000
PF08106	0.000	0.000	0.000	0.000	0.000
PF08107	0.000	0.000	0.000	0.000	0.000
PF08108	0.000	0.000	0.000	0.000	0.000
PF08109	0.000	0.000	0.000	0.000	0.000
PF08110	0.000	0.000	0.000	0.000	0.000
PF08129	0.000	0.000	0.000	0.000	0.000
PF08130	0.000	0.000	0.000	0.000	0.000
PF08225	0.000	0.000	0.000	0.000	0.000
PF08256	0.000	0.000	0.000	0.000	0.000
PF14861	0.000	0.000	0.000	0.000	0.000
PF08018	0.000	0.000	0.000	0.000	0.000
PF08023	0.000	0.000	0.000	0.000	0.000
PF08025	0.000	0.000	0.000	0.000	0.000
PF08024	0.000	0.000	0.000	0.000	0.000
PF08026	0.000	0.000	0.000	0.000	0.000
PF08036	0.000	0.000	0.000	0.000	0.000
PF08102	0.000	0.000	0.000	0.000	0.000
PF08103	0.000	0.000	0.000	0.000	0.000
PF08104	0.000	0.000	0.000	0.000	0.000
PF03230	0.000	0.000	0.000	0.000	0.000
PF02822	0.000	0.000	0.000	0.000	0.000
PF03589	0.000	0.000	0.000	0.000	0.000
PF04014	0.000	0.000	0.000	0.000	0.000
PF05586	0.000	0.000	0.000	0.000	0.000
PF03098	0.000	0.000	0.000	0.000	0.000
PF01786	0.000	0.000	0.000	0.000	0.000
